縣市名稱,鄉鎮市名稱,村里名稱,建檔編號,名稱,地址,建檔管理類型,公廁類型
桃園市,復興區,羅浮里,1000313009-B-00097,大灣公廁女廁,復興區羅浮村大灣,無障礙廁所,觀光地區及風景區
桃園市,復興區,羅浮里,1000313009-B-00096,大灣公廁男廁,復興區羅浮村大灣,無障礙廁所,觀光地區及風景區
桃園市,復興區,華陵里,1000313008-B-00095,拉拉山風景特定區上巴陵派出所旁無障礙廁所,復興區華陵村7鄰巴陵29號,無障礙廁所,觀光地區及風景區
桃園市,復興區,華陵里,1000313008-B-00094,拉拉山風景特定區上巴陵派出所旁女廁,復興區華陵村7鄰巴陵29號,無障礙廁所,觀光地區及風景區
桃園市,復興區,華陵里,1000313008-B-00093,拉拉山風景特定區上巴陵派出所旁男廁,復興區華陵村7鄰巴陵29號,無障礙廁所,觀光地區及風景區
桃園市,復興區,華陵里,1000313008-B-00092,拉拉山風景特定區下巴陵停車場女廁,復興區華陵村7鄰巴陵29號,無障礙廁所,觀光地區及風景區
桃園市,復興區,華陵里,1000313008-B-00091,拉拉山風景特定區下巴陵停車場男廁,復興區華陵村7鄰巴陵29號,無障礙廁所,觀光地區及風景區
桃園市,復興區,華陵里,1000313008-B-00090,拉拉山風景旅遊服務中心女廁,復興區華陵村7鄰巴陵29號,無障礙廁所,觀光地區及風景區
桃園市,復興區,華陵里,1000313008-B-00089,拉拉山風景旅遊服務中心男廁,復興區華陵村7鄰巴陵29號,無障礙廁所,觀光地區及風景區
桃園市,復興區,義盛里,1000313003-B-00088,小烏來風景特定區森林步道入口無障礙廁所,復興區義盛村,無障礙廁所,觀光地區及風景區
桃園市,復興區,澤仁里,1000313002-Y-00003,仁愛停車場無障礙廁所,桃園市復興區澤仁村仁愛路,無障礙廁所,公家機關設置供民眾使用者
桃園市,復興區,澤仁里,1000313002-Y-00002,仁愛停車場女廁,桃園市復興區澤仁村仁愛路,無障礙廁所,公家機關設置供民眾使用者
桃園市,復興區,澤仁里,1000313002-Y-00001,仁愛停車場男廁,桃園市復興區澤仁村仁愛路,無障礙廁所,公家機關設置供民眾使用者
桃園市,復興區,澤仁里,1000313002-V-00039,復興鄉歷史博物館1F無障礙廁所,復興區澤仁村中正路178號,無障礙廁所,文化育樂活動場所
桃園市,復興區,澤仁里,1000313002-V-00038,復興鄉歷史博物館1F女廁,復興區澤仁村中正路178號,無障礙廁所,文化育樂活動場所
桃園市,復興區,澤仁里,1000313002-V-00037,復興鄉歷史博物館1F男廁,復興區澤仁村中正路178號,無障礙廁所,文化育樂活動場所
桃園市,復興區,澤仁里,1000313002-U-00002,中正圖書館大樓公廁2F男女廁,復興區澤仁村中正路178號,無障礙廁所,各級社教機關
桃園市,復興區,澤仁里,1000313002-U-00001,中正圖書館大樓公廁1F男女廁,復興區澤仁村中正路178號,無障礙廁所,各級社教機關
桃園市,復興區,澤仁里,1000313002-T-00528,行政大樓3F女廁,復興區澤仁村中正路20號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00527,行政大樓3F男廁,復興區澤仁村中正路20號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00526,行政大樓2F無障礙廁所,復興區澤仁村中正路20號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00525,行政大樓2F女廁,復興區澤仁村中正路20號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00524,行政大樓2F男廁,復興區澤仁村中正路20號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00523,行政大樓1F無障礙廁所,復興區澤仁村中正路20號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00522,行政大樓1F女廁,復興區澤仁村中正路20號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00521,行政大樓1F男廁,復興區澤仁村中正路20號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00520,復興鄉戶政事務所女廁,復興區中正路180號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00519,復興鄉戶政事務所男廁,復興區中正路180號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00518,復興鄉衛生所4F女廁,復興區澤仁村中正路25號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00517,復興鄉衛生所4F男廁,復興區澤仁村中正路25號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00516,復興鄉衛生所3F女廁,復興區澤仁村中正路25號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00515,復興鄉衛生所3F男廁,復興區澤仁村中正路25號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00514,復興鄉衛生所2F女廁,復興區澤仁村中正路25號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00513,復興鄉衛生所2F男廁,復興區澤仁村中正路25號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00512,復興鄉衛生所1F無障礙廁所,復興區澤仁村中正路25號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00511,復興鄉衛生所1F女廁,復興區澤仁村中正路25號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-T-00510,復興鄉衛生所1F男廁,復興區澤仁村中正路25號,無障礙廁所,各級機關學校
桃園市,復興區,澤仁里,1000313002-D-00172,角板山公園廣場無障礙廁所,復興區澤仁村中正路,無障礙廁所,公園
桃園市,復興區,澤仁里,1000313002-D-00166,角板山公園女廁,復興區澤仁村中正路,無障礙廁所,公園
桃園市,復興區,澤仁里,1000313002-D-00165,角板山公園男廁,復興區澤仁村中正路,無障礙廁所,公園
桃園市,復興區,澤仁里,1000313002-C-00551,復興加油站男廁,復興區中正路267號,無障礙廁所,加油站
桃園市,復興區,澤仁里,1000313002-B-00081,角板山行館（2）（回字館內）無障礙廁所,復興區澤仁村中正路133-1號,無障礙廁所,觀光地區及風景區
桃園市,復興區,澤仁里,1000313002-B-00080,角板山行館（2）（回字館內）女廁,復興區澤仁村中正路133-1號,無障礙廁所,觀光地區及風景區
桃園市,復興區,澤仁里,1000313002-B-00079,角板山行館（2）（回字館內）男廁,復興區澤仁村中正路133-1號,無障礙廁所,觀光地區及風景區
桃園市,復興區,澤仁里,1000313002-B-00078,角板山行館（1）（入口處）無障礙廁所,復興區澤仁村中正路133-1號,無障礙廁所,觀光地區及風景區
桃園市,復興區,澤仁里,1000313002-B-00077,角板山行館（1）（入口處）女廁,復興區澤仁村中正路133-1號,無障礙廁所,觀光地區及風景區
桃園市,復興區,澤仁里,1000313002-B-00076,角板山行館（1）（入口處）男廁,復興區澤仁村中正路133-1號,無障礙廁所,觀光地區及風景區
桃園市,觀音區,保障里,1000312020-X-00245,保障宮無障礙廁所,桃園市觀音區保障里大觀路1段579號,無障礙廁所,寺廟教堂等宗教活動場所
桃園市,觀音區,大同里,1000312012-X-00240,佛教弘誓學院無障礙廁所,桃園市觀音區大同里十一鄰下大堀一二一之五號,無障礙廁所,寺廟教堂等宗教活動場所
桃園市,觀音區,大同里,1000312012-C-00539,新坡加油站無障礙廁所,桃園市觀音區大同里中山路二段七九四號,無障礙廁所,加油站
桃園市,觀音區,三和里,1000312007-C-00562,觀音三和加油站無障礙廁所,桃園市觀音區三和里濱海路武威段二號,無障礙廁所,加油站
桃園市,觀音區,廣興里,1000312003-C-00527,觀音加油站無障礙廁所,桃園市觀音區廣興里中山路一段166號,無障礙廁所,加油站
